'id';'code';'name';'parent_id/id'
'material.product_category_material_3_1_2';'02';'胶带类';'material.product_category_material_3_1'
'material.product_category_material_3_1_2_0';'000';'液体胶';'material.product_category_material_3_1_2'
'material.product_category_material_3_1_2_1';'001';'粘合剂';'material.product_category_material_3_1_2'
'material.product_category_material_3_1_3';'03';'包装类';'material.product_category_material_3_1'
'material.product_category_material_3_1_4';'04';'设备上用耗材';'material.product_category_material_3_1'
'material.product_category_material_3_1_4_0';'000';'设备上用耗材';'material.product_category_material_3_1_4'
'material.product_category_material_3_1_4_1';'001';'冲片机配件';'material.product_category_material_3_1_4'
'material.product_category_material_3_1_4_2';'002';'钻孔垫木板';'material.product_category_material_3_1_4'
'material.product_category_material_3_1_4_3';'003';'重型磨板机传送带更换';'material.product_category_material_3_1_4'
'material.product_category_material_3_1_5';'05';'生产用其他耗材';'material.product_category_material_3_1'
'material.product_category_material_3_1_5_0';'000';'生产用其他耗材';'material.product_category_material_3_1_5'
'material.product_category_material_3_1_5_1';'001';'隔板胶片';'material.product_category_material_3_1_5'
'material.product_category_material_3_1_5_2';'002';'劳保防护用品';'material.product_category_material_3_1_5'
'material.product_category_material_3_1_5_3';'003';'生日礼品';'material.product_category_material_3_1_5'
'material.product_category_material_3_1_5_4';'004';'工作服';'material.product_category_material_3_1_5'
'material.product_category_material_3_1_5_5';'005';'服务费';'material.product_category_material_3_1_5'
'material.product_category_material_4';'04';'维修配件';'material.product_category_material'
'material.product_category_material_4_1';'01';'机修类物料';'material.product_category_material_4'
'material.product_category_material_4_1_0';'00';'机修配件';'material.product_category_material_4_1'
'material.product_category_material_4_1_1';'01';'过滤材料';'material.product_category_material_4_1'
'material.product_category_material_4_1_1_1';'001';'过滤网';'material.product_category_material_4_1_1'
'material.product_category_material_4_1_2';'02';'空压机耗材';'material.product_category_material_4_1'
'material.product_category_material_4_1_3';'03';'涂布线耗材';'material.product_category_material_4_1'
'material.product_category_material_4_1_4';'04';'工具维修';'material.product_category_material_4_1'
'material.product_category_material_4_1_5';'05';'电线电缆、灯';'material.product_category_material_4_1'
'material.product_category_material_5';'05';'办公用品';'material.product_category_material'
'material.product_category_material_5_1';'01';'IT资源类';'material.product_category_material_5'
'material.product_category_material_5_1_1';'01';'电脑配件';'material.product_category_material_5_1'
'material.product_category_material_5_1_2';'02';'电脑工具';'material.product_category_material_5_1'
'material.product_category_material_5_2';'02';'文具类';'material.product_category_material_5'
'material.product_category_material_5_2_1';'01';'笔类';'material.product_category_material_5_2'
'material.product_category_material_5_2_2';'02';'纸类';'material.product_category_material_5_2'
'material.product_category_material_5_2_3';'03';'办公设备耗材';'material.product_category_material_5_2'
'material.product_category_material_5_2_4';'04';'办公耗材';'material.product_category_material_5_2'
'material.product_category_material_6';'06';'固定资产类';'material.product_category_material'
'material.product_category_material_6_1';'01';'固定资产类';'material.product_category_material_6'
'material.product_category_material_7';'07';'生产工具类';'material.product_category_material'
'material.product_category_material_7_1';'01';'测量工具';'material.product_category_material_7'
'material.product_category_material_7_2';'02';'周转箱';'material.product_category_material_7'
'material.product_category_material_7_3';'03';'辅助类工具';'material.product_category_material_7'
'material.product_category_material_7_4';'04';'化验室仪器';'material.product_category_material_7'
'material.product_category_material_7_5';'05';'模具';'material.product_category_material_7'
'material.product_category_material_8';'08';'食品';'material.product_category_material'
'material.product_category_material_8_1';'01';'食堂物料';'material.product_category_material_8'
